label	text_a
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, <e1>phosphatidylinositol 3-kinase signaling</e1>, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, <e1>positive regulation of protein phosphorylation</e1>, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, <e1>TOR signaling</e1>; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and <e1>protein polyubiquitination</e1>, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e1>cancer</e1> cells, were associated with <e2>signal transduction</e2>-amplified breast cancer.
1	Machine learning search further revealed that the likelihood of HER2-positive breast <e1>cancer</e1> is almost 100% in a patient with the high <e2>transcription by RNA polymerase II</e2> expression combined with expression patterns of high E2F3, regulation of synaptic vesicle exocytosis, and MAPK1, low or no change in regulation of transcription, DNA-templated and positive regulation of cell proliferation, and high or no change in PIK3R3.
1	Machine learning search further revealed that the likelihood of HER2-positive breast <e1>cancer</e1> is almost 100% in a patient with the high transcription by RNA polymerase II expression combined with expression patterns of high E2F3, regulation of synaptic vesicle exocytosis, and MAPK1, low or no change in regulation of transcription, DNA-templated and <e2>positive regulation of cell proliferation</e2>, and high or no change in PIK3R3.
0	Machine learning search further revealed that the likelihood of HER2-positive breast <e1>cancer</e1> is almost 100% in a patient with the high transcription by RNA polymerase II expression combined with expression patterns of high E2F3, regulation of synaptic vesicle exocytosis, and MAPK1, low or no change in <e2>regulation of transcription, DNA-templated</e2> and positive regulation of cell proliferation, and high or no change in PIK3R3.
1	Machine learning search further revealed that the likelihood of HER2-positive breast <e1>cancer</e1> is almost 100% in a patient with the high transcription by RNA polymerase II expression combined with expression patterns of high E2F3, <e2>regulation of synaptic vesicle exocytosis</e2>, and MAPK1, low or no change in regulation of transcription, DNA-templated and positive regulation of cell proliferation, and high or no change in PIK3R3.
1	In summary, our findings suggest novel roles of <e1>transcription by RNA polymerase II</e1> and its regulatory networks in susceptibility to the ER/PR-ve signal transduction+ve aggressive breast <e2>cancer</e2> subtype.
1	In summary, our findings suggest novel roles of transcription by RNA polymerase II and its regulatory networks in susceptibility to the ER/PR-ve <e1>signal transduction</e1>+ve aggressive breast <e2>cancer</e2> subtype.
1	Clinical confirmation of our machine learned Bayesian networks will have significant impact on our understanding of the role of NRF1 as a valuable biomarker for breast <e1>cancer</e1> diagnosis and prognosis as well as provide strong rationale for future studies to develop NRF1 signaling-based therapeutics to target <e2>signal transduction</e2>+ breast cancer.
1	Intriguingly, one of the most frequently altered genes, mutated exclusively by inactivating mutation, was <e1>endosome to lysosome transport via multivesicular body sorting pathway</e1> (10%), which may represent a novel cancer gene in chordoma.Chordoma is a rare often incurable malignant bone <e2>tumour</e2>.
1	Intriguingly, one of the most frequently altered genes, mutated exclusively by inactivating mutation, was <e1>endosome to lysosome transport via multivesicular body sorting pathway</e1> (10%), which may represent a novel cancer gene in <e2>chordoma</e2>.Chordoma is a rare often incurable malignant bone tumour.
1	Intriguingly, one of the most frequently altered genes, mutated exclusively by inactivating mutation, was <e1>endosome to lysosome transport via multivesicular body sorting pathway</e1> (10%), which may represent a novel <e2>cancer</e2> gene in chordoma.Chordoma is a rare often incurable malignant bone tumour.
1	Here, the authors investigate driver mutations of <e1>sporadic</e1> chordoma in 104 cases, revealing duplications in notochordal transcription factor brachyury (T), PI3K signalling mutations, and mutations in <e2>endosome to lysosome transport via multivesicular body sorting pathway</e2>, a potential novel cancer gene in chordoma.
1	Here, the authors investigate driver mutations of sporadic <e1>chordoma</e1> in 104 cases, revealing duplications in notochordal transcription factor brachyury (T), PI3K signalling mutations, and mutations in <e2>endosome to lysosome transport via multivesicular body sorting pathway</e2>, a potential novel cancer gene in chordoma.
1	Here, the authors investigate driver mutations of sporadic chordoma in 104 cases, revealing duplications in notochordal transcription factor brachyury (T), PI3K signalling mutations, and mutations in <e1>endosome to lysosome transport via multivesicular body sorting pathway</e1>, a potential novel <e2>cancer</e2> gene in chordoma.
1	Studies in humans with <e1>autosomal recessive</e1> <e2>positive regulation of stress-activated MAPK cascade</e2> deficiency have indicated a highly specific role for this molecule in the activation of antifungal immune responses in the central nervous system, the oral mucosa, and the skin.
1	Studies in humans with autosomal recessive <e1>positive regulation of stress-activated MAPK cascade</e1> deficiency have indicated a highly specific role for this molecule in the activation of antifungal immune responses in the <e2>central</e2> nervous system, the oral mucosa, and the skin.
1	Moreover, <e1>positive regulation of stress-activated MAPK cascade</e1>-dependent functions have recently been indicated to modulate the development of autoimmunity, inflammatory bowel diseases, and <e2>cancer</e2>.
1	Mutations in peripherin 2 (<e1>cell adhesion</e1>), also known as <e2>retinal degeneration</e2> slow/RDS, lead to various retinal degenerations including retinitis pigmentosa (RP) and macular/pattern dystrophy (MD/PD).
1	We asked whether <e1>cell adhesion</e1> could modify the phenotype of a cell adhesion mutation associated with a high degree of intrafamilial phenotypic <e2>heterogeneity</e2>: Y141C.
1	We asked whether cell adhesion could modify the phenotype of a <e1>cell adhesion</e1> mutation associated with a high degree of intrafamilial phenotypic <e2>heterogeneity</e2>: Y141C.
1	Familial amyloid polyneuropathy (<e1>proteolysis</e1>) is a rare autosomal dominant disorder characterized by amyloid accumulation in the <e2>peripheral</e2> nerves and other organs, including the heart, kidney, and eyes.
1	Forty unique <e1>blood coagulation</e1>GR1 mutations have been reported and they exert either an autosomal dominant or an <e2>autosomal recessive</e2> effect.
1	<e1>phospholipid transport</e1> deficiency should be considered in patients with the combination of peripheral <e2>neuropathy</e2> and recurrent rhabdomyolysis.
1	Phenotypically, bs <e1>epidermis development</e1> exhibit nuclear <e2>cataracts</e2> and male infertility; genetic analyses assigned the bs locus to mouse chromosome 2.
1	Based on the function of <e1>ER to Golgi vesicle-mediated transport</e1> as a RABnegative regulation of cell-matrix adhesion and the bs <e2>cataract</e2> and testicular phenotypes, we hypothesized that mutations in TBC1D20 may contribute to Warburg micro syndrome (WARBM); WARBM constitutes a spectrum of disorders characterized by eye, brain, and endocrine abnormalities caused by mutations in RAB3GAP1, RAB3GAP2, and autophagosome assembly8.
1	Based on the function of ER to Golgi vesicle-mediated transport as a RAB<e1>negative regulation of cell-matrix adhesion</e1> and the bs <e2>cataract</e2> and testicular phenotypes, we hypothesized that mutations in TBC1D20 may contribute to Warburg micro syndrome (WARBM); WARBM constitutes a spectrum of disorders characterized by eye, brain, and endocrine abnormalities caused by mutations in RAB3GAP1, RAB3GAP2, and autophagosome assembly8.
1	Based on the function of ER to Golgi vesicle-mediated transport as a RABnegative regulation of cell-matrix adhesion and the bs <e1>cataract</e1> and testicular phenotypes, we hypothesized that mutations in TBC1D20 may contribute to Warburg micro syndrome (WARBM); WARBM constitutes a spectrum of disorders characterized by eye, brain, and endocrine abnormalities caused by mutations in RAB3GAP1, RAB3GAP2, and <e2>autophagosome assembly</e2>8.
1	An oncogenic role for <e1>ATP-dependent chromatin remodeling</e1>, a NuRD component, is defined for initiating and supporting <e2>tumor</e2> suppressor gene (negative regulation of cytokine production) silencing in human colorectal cancer.
1	An oncogenic role for <e1>ATP-dependent chromatin remodeling</e1>, a NuRD component, is defined for initiating and supporting tumor suppressor gene (negative regulation of cytokine production) silencing in human colorectal <e2>cancer</e2>.
1	An oncogenic role for ATP-dependent chromatin remodeling, a NuRD component, is defined for initiating and supporting <e1>tumor</e1> suppressor gene (<e2>negative regulation of cytokine production</e2>) silencing in human colorectal cancer.
1	<e1>ATP-dependent chromatin remodeling</e1> knockdown activates silenced TSGs, revealing their role for blunting colorectal <e2>cancer</e2> cell proliferation, invasion, and metastases.
1	X-linked Myopathy with Excessive Autophagy (<e1>regulation of ATPase activity</e1>) affects proximal muscles of the lower extremities and follows a progressive course reminiscent of <e2>muscular dystrophy</e2>.
1	Rescue of <e1>protein ubiquitination</e1> expression induced proteasomal degradation of C/EBP proteins, abrogated the mesenchymal signature, and reduced <e2>tumor</e2> viability in vitro and in vivo.
1	The <e1>positive regulation of cell-matrix adhesion</e1>ty acid (FA) composition of protein phosphorylation blood cell (RBC) membrane phospholipids of cancer patients can reflect <e2>tumor</e2> status, dietary intakes, and cancer muscle organ development or therapy.
1	The positive regulation of cell-matrix adhesionty acid (FA) composition of protein phosphorylation blood cell (RBC) membrane phospholipids of cancer patients can reflect <e1>tumor</e1> status, dietary intakes, and cancer <e2>muscle organ development</e2> or therapy.
1	To date, researchers have discovered that Nrf2 deletion results in high susceptibility and severity of insults in various models of respiratory diseases, including bronchopulmonary dysplasia (BPD), respiratory infections, acute respiratory distress syndrome (ARDS), chronic obstructive pulmonary disease (<e1>intracellular protein transport</e1>), asthma, idiopathic pulmonary fibrosis (IPF), and lung <e2>cancer</e2>.
1	<e1>cation transport</e1> is a Ca(2+) activated Cl(-) channel that is related to head and neck <e2>cancer</e2>, often caused by human papilloma virus (HPV) infection.
1	<e1>cation transport</e1> is a Ca(2+) activated Cl(-) channel that is related to head and neck cancer, often caused by human <e2>papilloma</e2> virus (HPV) infection.
1	Because <e1>protein N-linked glycosylation via asparagine</e1>8 is required to lower cytosolic Zn(2+) concentrations by the Zn(2+) transporter ZnT-1, we hypothesize that HPV infections and <e2>cancer</e2> caused by mutations in TMC8 are related to upregulated Zn(2+)/Ca(2+) signaling and activation of cation transport.
1	Because protein N-linked glycosylation via asparagine8 is required to lower cytosolic Zn(2+) concentrations by the Zn(2+) transporter ZnT-1, we hypothesize that HPV infections and <e1>cancer</e1> caused by mutations in TMC8 are related to upregulated Zn(2+)/Ca(2+) signaling and activation of <e2>cation transport</e2>.
0	We generated a transgenic rat strain with a missense mutation in V286L (V286L-TG), in the gene encoding the neuronal nicotinic acetylcholine receptor 2 subunit (CHRNB2) found in patients with autosomal dominant <e1>nocturnal</e1> frontal <e2>negative regulation of protein kinase activity</e2> epilepsy (ADNFLE).
1	Our analyses identified 15 CpG sites within the APC 1A promoter that were significantly hypermethylated and 14 CpG loci within the <e1>calcineurin-NFAT signaling cascade</e1> gene body that were significantly hypomethylated (pLIS&lt;1  10<sup>-5</sup> ) in the <e2>tumour</e2>s of active smokers.
1	The <e1>cellular response to DNA damage stimulus</e1> 1A promoter was hypermethylated in 7 of 36 <e2>tumour</e2>s from never-smokers (19%), 12 of 47 tumours from former smokers (26%), and 8 of 13 tumours from active smokers (62%).
1	On the other hand, intraperitoneal administration of PQQ exerted protective effects on rats that had received rotenone injection into the medial forebrain bundle through decreasing the apomorphine-evoked rotation, inhibiting <e1>neuronal loss</e1> and TH down-regulation in SNc, increasing the antioxidative ability, and regulating intracellular expressions of <e2>apoptotic mitochondrial changes</e2> and Ndufs 4.
1	In vitro and invivo (a subcutaneous BALB/c establishment of mitotic spindle orientation mouse model) studies showed that exosomal <e1>cellular response to zinc ion starvation</e1> can significantly promote pancreatic <e2>cancer</e2> growth.
1	By combining meta-analysis results and identification of two unrelated HCM patients with homozygous <e1>cardiac muscle hypertrophy</e1> truncating variants, we suggest that the association of CSRP3 as a validated HCM-causing gene require additional studies and those CSRP3 variants could result in HCM with an autosomal recessive <e2>inheritance</e2> rather than with an autosomal dominant transmission as usually reported on HCM (OMIM 612124).
0	However, the prognostic value of <e1>gamma-aminobutyric acid catabolic process</e1> in ovarian <e2>cancer</e2> remains unclear.
1	In survival analyses, we found that ALDH5A1 was positively linked to prognosis in patients with OC, particularly in those with serous ovarian <e1>cancer</e1> (<e2>biological_process</e2>).
1	Charcot-Marie-Tooth disease muscle organ development 4B2 with early-onset <e1>glaucoma</e1> (<e2>myelination</e2>, OMIM 604563) is a genetically-heterogeneous childhood-onset neuromuscular disorder.
1	Alterations of its normal function may contribute to two different phenotypes: juvenile amyotrophic lateral sclerosis (<e1>signal transduction</e1> 16) and <e2>distal</e2> hereditary motor neuropathies (dHMN).
1	Direct sequencing revealed a G to T transition (c.886G&gt;T) in exon 9 of the fourpointone, ezrin, radixin, moesin domaincontaining 7 (<e1>regulation of neuron projection development</e1>) gene, which resulted in a conservative substitution of glycine to cysteine at codon 296 (p.G296C), leading to idiopathic congenital <e2>nystagmus</e2> in the two affected brothers.
1	A moderate to severe reduction (&gt;50%) in <e1>positive regulation of cell death</e1> activity resulting from recessive deletions and/or missense mutations has been shown to cause muscle organ development 1 <e2>hyperprolinemia</e2> (HPI).
1	Here we studied the frequency of a recurrent small 22q11.2 deletion encompassing <e1>positive regulation of cell death</e1> and the neighboring cell adhesion gene in three case-control studies, one comprising HPI patients (n=83), and the other two comprising <e2>autism</e2> spectrum disorder (ASD) patients (total of n=2800), analyzed with high-resolution microarrays.
1	Here we studied the frequency of a recurrent small 22q11.2 deletion encompassing positive regulation of cell death and the neighboring <e1>cell adhesion</e1> gene in three case-control studies, one comprising HPI patients (n=83), and the other two comprising <e2>autism</e2> spectrum disorder (ASD) patients (total of n=2800), analyzed with high-resolution microarrays.
1	The known pathogenic molecules involved in ichthyosis syndromes with prominent <e1>hair abnormalities</e1> include <e2>epidermal cell differentiation</e2>, transcription-coupled nucleotide-excision repair, ERCC3, nucleotide-excision repair, cell cycle, ST14, cell-cell junction organization and MBTPS2.
1	The known pathogenic molecules involved in ichthyosis syndromes with prominent <e1>hair abnormalities</e1> include epidermal cell differentiation, <e2>transcription-coupled nucleotide-excision repair</e2>, ERCC3, nucleotide-excision repair, cell cycle, ST14, cell-cell junction organization and MBTPS2.
1	The known pathogenic molecules involved in ichthyosis syndromes with prominent <e1>hair abnormalities</e1> include epidermal cell differentiation, transcription-coupled nucleotide-excision repair, ERCC3, <e2>nucleotide-excision repair</e2>, cell cycle, ST14, cell-cell junction organization and MBTPS2.
1	The known pathogenic molecules involved in ichthyosis syndromes with prominent <e1>hair abnormalities</e1> include epidermal cell differentiation, transcription-coupled nucleotide-excision repair, ERCC3, nucleotide-excision repair, <e2>cell cycle</e2>, ST14, cell-cell junction organization and MBTPS2.
1	The known pathogenic molecules involved in ichthyosis syndromes with prominent <e1>hair abnormalities</e1> include epidermal cell differentiation, transcription-coupled nucleotide-excision repair, ERCC3, nucleotide-excision repair, cell cycle, ST14, <e2>cell-cell junction organization</e2> and MBTPS2.
1	A GARP complex mutation analogous to a VPS53 allele causing progressive cerebello-<e1>cerebral atrophy</e1> <e2>muscle organ development</e2> 2 (PCCA2) in humans exhibits similar, albeit weaker, phenotypes in yeast, providing mechanistic insights into disease pathogenesis.
1	Through whole-exome sequencing in six unrelated nonconsanguineous families having a sporadic case of <e1>intellectual disability</e1>, we identified six novel de novo truncating mutations in <e2>sister chromatid biorientation</e2>: c.1880C&gt;G p.(Ser627*), c.1489C&gt;T; p.(Arg497*), c.1876_1877delAG; p.(Ser626Leufs*4), c.1043G&gt;A; p.(Trp348*), c.1002G&gt;A; p.(Trp334*), and c.958_959delCC; p.(Pro320*).
1	These data suggest a pathogenic mechanism of the <e1>sister chromatid biorientation</e1>-associated <e2>intellectual disability</e2> syndrome mediated by direct interacting partners of CHAMP1, several of which are involved in chromo/kinetochore-related disorders.
1	These findings implicate for the first time perturbed TGF- signaling in the <e1>negative regulation of transcription by RNA polymerase II</e1> of retinal dystrophies, support the study of related morphogenetic genes for comparable roles in retinal disease and may offer additional therapeutic opportunities for genetically <e2>heterogeneous</e2> disorders presently only treatable with gene therapy.
1	Brain malformations described in association with 22q11.2 deletion syndrome include polymicrogyria, cerebellar hypoplasia, megacisterna magna, and <e1>agenesis of the corpus callosum</e1> (<e2>acetyl-CoA metabolic process</e2>), although these are rare.
1	Preclinical studies have demonstrated that <e1>positive regulation of cell-matrix adhesion</e1> is associated with disease prognosis in a number of human cancers, including <e2>glioblastoma</e2>.
1	Preclinical studies have demonstrated that <e1>positive regulation of cell-matrix adhesion</e1> is associated with disease prognosis in a number of human <e2>cancer</e2>s, including glioblastoma.
1	Translational research suggests that <e1>positive regulation of cell-matrix adhesion</e1> may be targeted with antibodies to improve <e2>tumor</e2> control and survival in a variety of murine models and cancer types.
1	In humans, mutations in several genes involved in the Notch pathway are associated with SDV, with both <e1>autosomal recessive</e1> (MESP2, DLL3, <e2>regulation of somitogenesis</e2>, mesoderm development) and autosomal dominant (TBX6) inheritance.
1	In humans, mutations in several genes involved in the Notch pathway are associated with SDV, with both <e1>autosomal recessive</e1> (MESP2, DLL3, regulation of somitogenesis, <e2>mesoderm development</e2>) and autosomal dominant (TBX6) inheritance.
1	Herein, we newly identified that truncated form of <e1>sister chromatid cohesion</e1> is produced and released from lung <e2>tumor</e2> tissue in a mouse model expressing human EML4-ALK fusion gene.
